Title,Description,URL,Published At
Marseille dans un nouveau monde après avoir intégré la Ligue Magnus,"Les Spartiates de Marseille ont rejoint la Ligue Magnus, jeudi. Une grande première. Le club avancera avec prudence. Il est solide, en termes de structures et de finances, mais irrégulier sur le plan sportif. Objectifs : se renforcer et assurer le maintien.",https://www.lequipe.fr/Hockey-sur-glace/Actualites/Marseille-dans-un-nouveau-monde-apres-avoir-integre-la-ligue-magnus/1401523,2023-06-08T14:48:14+00:00
Manchester City au complet pour la finale de la Ligue des champions,"Manchester City a dévoilé un groupe de vingt-trois joueurs pour la finale de Ligue des champions samedi contre l'Inter Milan, à Istanbul (21 heures).",https://www.lequipe.fr/Football/Actualites/Manchester-city-au-complet-pour-la-finale-de-la-ligue-des-champions/1401522,2023-06-08T14:46:51+00:00
Jonas Vingegaard remporte en solitaire la cinquième étape du Dauphiné et enfile le maillot jaune,"Impressionnant sur les pentes de la Côte de Thésy, Jonas Vingegaard a remporté la cinquième étape du Critérium du Dauphiné et prend la tête du classement général.",https://www.lequipe.fr/Cyclisme-sur-route/Actualites/Jonas-vingegaard-remporte-en-solitaire-la-cinquieme-etape-du-dauphine-et-enfile-le-maillot-jaune/1401512,2023-06-08T14:21:08+00:00
Jacobus Van Tonder (Clermont) signe à Perpignan,Le deuxième ou troisième-ligne sud-africain de Clermont Jacobus Van Tonder s'est engagé avec l'USAP pour les deux prochaines saisons.,https://www.lequipe.fr/Rugby/Actualites/Jacobus-van-tonder-clermont-signe-a-perpignan/1401509,2023-06-08T14:12:49+00:00
L'UEFA a donné des consignes de sécurité aux supporters de Manchester City avant la finale de la Ligue des ...,"Selon le « Daily Mail », l'UEFA a envoyé ses consignes de sécurité aux supporters de Manchester City avant la finale de Ligue des champions qui opposera les Citizens à l'Inter, samedi, à Istanbul (21 heures). Un an après les incidents du Stade de France, l'in…",https://www.lequipe.fr/Football/Actualites/L-uefa-a-donne-des-consignes-de-securite-aux-supporters-de-manchester-city-avant-la-finale-de-la-ligue-des-champions/1401508,2023-06-08T14:11:05+00:00
Transferts : Crystal Palace recrute Jefferson Lerma,"Le milieu international colombien Jefferson Lerma, libre de tout contrat après cinq ans à Bournemouth, a signé trois ans à Crystal Palace, ce jeudi.",https://www.lequipe.fr/Football/Actualites/Transferts-crystal-palace-recrute-jefferson-lerma/1401507,2023-06-08T14:09:07+00:00
Salis Abdul Samed prolonge à Lens jusqu'en 2028,Salis Abdul Samed (23 ans) a prolongé son contrat d'une saison supplémentaire avec le RC Lens. Le milieu défensif ghanéen est désormais lié aux Sang et Or jusqu'en 2028.,https://www.lequipe.fr/Football/Actualites/Salis-abdul-samed/1401500,2023-06-08T14:00:00+00:00
Clémentine Geoffray championne du monde de trail court,"Sensation à Innsbruck : après avoir longtemps joué les troisièmes rôles, la Française Clémentine Geoffray s'est imposée en fin de course pour décrocher son premier titre de championne du monde de trail, ce jeudi, sur l'épreuve courte. Chez les hommes, Thibaut…",https://www.lequipe.fr/Adrenaline/Trail/Actualites/Clementine-geoffray-championne-du-monde-de-trail-court/1401503,2023-06-08T13:58:20+00:00
Vingt-trois arrestations en marge de la finale de la Ligue Europa Conférence,"Les incidents ayant opposé des supporters de la Fiorentina et de West Ham en marge de la finale de la Ligue Europa Conference mercredi soir à Prague (2-1) ont conduit à 23 arrestations, selon un nouveau bilan communiqué jeudi par la police tchèque.",https://www.lequipe.fr/Football/Actualites/Vingt-trois-arrestations-en-marge-de-la-finale-de-la-ligue-europa-conference/1401496,2023-06-08T13:19:32+00:00
Fabio Quartararo avant le GP d'Italie : « Il n'y aura pas de nouveautés »,Le Français aborde le Grand Prix de ce week-end au Mugello avec l'ambition de trouver enfin son rythme sur une Yamaha sans grand changement.,https://www.lequipe.fr/Moto/Actualites/Fabio-quartararo-avant-le-gp-d-italie-il-n-y-aura-pas-de-nouveautes/1401493,2023-06-08T13:07:33+00:00
