Film Link,Title,Synopsis
https://letterboxd.com/film/barbie/,Barbie,No synopsis available
https://letterboxd.com/film/parasite-2019/,Parasite,No synopsis available
https://letterboxd.com/film/fight-club/,Fight Club,No synopsis available
https://letterboxd.com/film/interstellar/,Interstellar,No synopsis available
https://letterboxd.com/film/everything-everywhere-all-at-once/,Everything Everywhere All at Once,No synopsis available
https://letterboxd.com/film/la-la-land/,La La Land,No synopsis available
https://letterboxd.com/film/oppenheimer-2023/,Oppenheimer,No synopsis available
https://letterboxd.com/film/joker-2019/,Joker,No synopsis available
https://letterboxd.com/film/whiplash-2014/,Whiplash,No synopsis available
https://letterboxd.com/film/pulp-fiction/,Pulp Fiction,No synopsis available
https://letterboxd.com/film/dune-2021/,Dune,No synopsis available
https://letterboxd.com/film/get-out-2017/,Get Out,No synopsis available
https://letterboxd.com/film/spider-man-into-the-spider-verse/,Spider-Man: Into the Spider-Verse,No synopsis available
https://letterboxd.com/film/midsommar/,Midsommar,No synopsis available
https://letterboxd.com/film/the-batman/,The Batman,No synopsis available
https://letterboxd.com/film/the-truman-show/,The Truman Show,No synopsis available
https://letterboxd.com/film/knives-out-2019/,Knives Out,No synopsis available
https://letterboxd.com/film/the-dark-knight/,The Dark Knight,No synopsis available
https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,Eternal Sunshine of the Spotless Mind,No synopsis available
https://letterboxd.com/film/inception/,Inception,No synopsis available
https://letterboxd.com/film/saltburn/,Saltburn,No synopsis available
https://letterboxd.com/film/american-psycho/,American Psycho,No synopsis available
https://letterboxd.com/film/poor-things-2023/,Poor Things,No synopsis available
https://letterboxd.com/film/spider-man-across-the-spider-verse/,Spider-Man: Across the Spider-Verse,No synopsis available
https://letterboxd.com/film/dune-part-two/,Dune: Part Two,No synopsis available
https://letterboxd.com/film/lady-bird/,Lady Bird,No synopsis available
https://letterboxd.com/film/the-wolf-of-wall-street/,The Wolf of Wall Street,No synopsis available
https://letterboxd.com/film/spirited-away/,Spirited Away,No synopsis available
https://letterboxd.com/film/the-grand-budapest-hotel/,The Grand Budapest Hotel,No synopsis available
https://letterboxd.com/film/challengers/,Challengers,No synopsis available
https://letterboxd.com/film/the-substance/,The Substance,No synopsis available
https://letterboxd.com/film/the-menu-2022/,The Menu,No synopsis available
https://letterboxd.com/film/the-shining/,The Shining,No synopsis available
https://letterboxd.com/film/gone-girl/,Gone Girl,No synopsis available
https://letterboxd.com/film/spider-man-no-way-home/,Spider-Man: No Way Home,No synopsis available
https://letterboxd.com/film/black-swan/,Black Swan,No synopsis available
https://letterboxd.com/film/10-things-i-hate-about-you/,10 Things I Hate About You,No synopsis available
https://letterboxd.com/film/little-women-2019/,Little Women,No synopsis available
https://letterboxd.com/film/forrest-gump/,Forrest Gump,No synopsis available
https://letterboxd.com/film/se7en/,Se7en,No synopsis available
https://letterboxd.com/film/once-upon-a-time-in-hollywood/,Once Upon a Time... in Hollywood,No synopsis available
https://letterboxd.com/film/inglourious-basterds/,Inglourious Basterds,No synopsis available
https://letterboxd.com/film/dead-poets-society/,Dead Poets Society,No synopsis available
https://letterboxd.com/film/the-silence-of-the-lambs/,The Silence of the Lambs,No synopsis available
https://letterboxd.com/film/call-me-by-your-name/,Call Me by Your Name,No synopsis available
https://letterboxd.com/film/kill-bill-vol-1/,Kill Bill: Vol. 1,No synopsis available
https://letterboxd.com/film/the-godfather/,The Godfather,No synopsis available
https://letterboxd.com/film/shutter-island/,Shutter Island,No synopsis available
https://letterboxd.com/film/ratatouille/,Ratatouille,No synopsis available
https://letterboxd.com/film/avengers-infinity-war/,Avengers: Infinity War,No synopsis available
https://letterboxd.com/film/baby-driver/,Baby Driver,No synopsis available
https://letterboxd.com/film/django-unchained/,Django Unchained,No synopsis available
https://letterboxd.com/film/fantastic-mr-fox/,Fantastic Mr. Fox,No synopsis available
https://letterboxd.com/film/avengers-endgame/,Avengers: Endgame,No synopsis available
https://letterboxd.com/film/hereditary/,Hereditary,No synopsis available
https://letterboxd.com/film/deadpool-wolverine/,Deadpool & Wolverine,No synopsis available
https://letterboxd.com/film/the-perks-of-being-a-wallflower/,The Perks of Being a Wallflower,No synopsis available
https://letterboxd.com/film/inside-out-2-2024/,Inside Out 2,No synopsis available
https://letterboxd.com/film/glass-onion/,Glass Onion,No synopsis available
https://letterboxd.com/film/500-days-of-summer/,(500) Days of Summer,No synopsis available
https://letterboxd.com/film/her/,Her,No synopsis available
https://letterboxd.com/film/the-social-network/,The Social Network,No synopsis available
https://letterboxd.com/film/good-will-hunting/,Good Will Hunting,No synopsis available
https://letterboxd.com/film/the-matrix/,The Matrix,No synopsis available
https://letterboxd.com/film/scott-pilgrim-vs-the-world/,Scott Pilgrim vs. the World,No synopsis available
https://letterboxd.com/film/taxi-driver/,Taxi Driver,No synopsis available
https://letterboxd.com/film/inside-out-2015/,Inside Out,No synopsis available
https://letterboxd.com/film/nope/,Nope,No synopsis available
https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,The Lord of the Rings: The Fellowship of the Ring,No synopsis available
https://letterboxd.com/film/the-shawshank-redemption/,The Shawshank Redemption,No synopsis available
https://letterboxd.com/film/nosferatu-2024/,Nosferatu,No synopsis available
https://letterboxd.com/film/blade-runner-2049/,Blade Runner 2049,No synopsis available
